index,Id,Title,Main Story,Main + Extras,Completionist,All Styles,Rating,Retired,Single-Player,Co-Op,Vs.
80,65080,A Plague Tale: Innocence ,10.5,12,15.5,11.5,81, 1.55,,,
193,20076,ABZÛ ,2,2.5,4,2,76, 2.35,,,
62,319,Alan Wake ,11,14.5,26,13,79, 4.54,,,
86,16638,Alien: Isolation ,18.5,23,32,20.5,83, 4.78,,,
158,440,Amnesia: The Dark Descent ,8,9,10.5,8.5,79, 11.03,,,
5,68240,Animal Crossing: New Horizons ,60.5,92.5,297,70,86, 5.41,,,
95,649,Assassin's Creed ,15h ,20h ,33h ,19h ,70, 5.46,,,
31,651,Assassin's Creed II ,20h ,29h ,38h ,28h ,84, 3.25,,,
130,655,Assassin's Creed III ,16,31,54.5,26,71, 4.59,,,
51,12707,Assassin's Creed IV: Black Flag ,23,40.5,58.5,38.5,82, 4.28,,,
7,57503,Assassin's Creed Odyssey ,41,78.5,126,85,83, 2.08,,,
21,46402,Assassin's Creed Origins ,29.5,50.5,81.5,55,81, 1.96,,,
100,661,Assassin's Creed: Brotherhood ,15h ,25h ,42h ,24h ,81, 2.75,,,
151,664,Assassin's Creed: Revelations ,12h ,21h ,35h ,19h ,76, 3.24,,,
65,26706,Assassin's Creed: Syndicate ,18.5,33,53.5,32.5,75, 3.15,,,
109,21269,Assassin's Creed: Unity ,17,33,77.5,29.5,68, 3.83,,,
153,64993,Astral Chain ,20.5,28,78,26,81, 1.95,,,
67,869,Bastion ,6,9,20,8,83, 4.14,,,
57,14443,Batman: Arkham Asylum GOTY ,11,16,25.5,14.5,84, 3.84,,,
58,11963,Batman: Arkham City GOTY ,13.5,23,54.5,20.5,86, 4.35,,,
34,18005,Batman: Arkham Knight ,16.5,30,47,29.5,82, 2.54,,,
124,12676,Batman: Arkham Origins ,12.5,22,39,18.5,75, 3.95,,,
119,966,Bayonetta ,11,15.5,42,13,83, 2.71,,,
9,1065,BioShock ,12,15.5,22,14,86, 7.09,,,
20,1066,BioShock 2 ,11,14.5,22,13,79, 7.52,,,
15,1068,BioShock Infinite ,11.5,15.5,26.5,13.5,86, 1.81,,,
84,21262,Bloodborne ,34,45,77,47,93, 3.36,,,
129,1273,Borderlands ,22.5,35,63,33,78, 10.14,,,
14,1274,Borderlands 2 ,30.5,52.5,119,50,83, 8.39,,,
112,65882,Borderlands 3 ,22.5,39.5,62,36,79, 1.79,,,
44,21248,Borderlands: The Pre-Sequel! ,18,28.5,53.5,25.5,71, 5.87,,,
157,12660,Brothers: A Tale of Two Sons ,3,3.5,4,3.5,83, 2.08,,,
22,46121,Call of Duty: WWII ,7,8.5,21.5,7.5,72, 4.23,,,
37,42818,Celeste ,8,12.5,36,10.5,89, 1.99,,,
164,17012,Child of Light ,11,13.5,15.5,13,80, 4.29,,,
177,1705,Chrono Trigger ,23,26,44.5,26.5,93, 2.1,,,
135,24640,Cities: Skylines ,25.5,51.5,104,41,81, 16.79,,,
42,57507,Control ,11,17.5,24,16.5,81, 2.17,,,
117,1957,Counter-Strike: Global Offensive ,,,,,76, 44.27,,146,697
102,46381,Crash Bandicoot N. Sane Trilogy ,14.5,21.5,40,20,81, 4.21,,,
73,21680,Cuphead ,10,14,21,13,88, 5.33,,,
120,25311,Dark Souls II: Scholar of the First Sin ,36,65,106,61.5,81, 4.14,,,
43,26803,Dark Souls III ,32.5,47,91.5,47,90, 2.86,,,
152,56677,Dark Souls: Remastered ,26.5,46,63,44,90, 2.63,,,
75,2243,Darksiders ,17,20.5,27,19.5,76, 9.76,,,
180,45727,Dead Cells ,13,26,82,17,84, 6.87,,,
128,2333,Dead Space ,11,13,20.5,12.5,84, 5.63,,,
54,38061,Death Stranding ,40,58,113,56,85, 1.59,,,
123,43894,Destiny 2 ,12,26.5,121,23,72, 12.43,,,
90,31388,Detroit: Become Human ,12,14.5,28.5,13,83, 0.96,,,
184,14286,Deus Ex: Human Revolution - Director's Cut ,23.5,31.5,44.5,31.5,84, 4.8,,,
91,25434,Deus Ex: Mankind Divided ,15.5,30,46.5,29,79, 2.81,,,
104,57514,Devil May Cry 5 ,11,15.5,67,13,86, 1.22,,,
59,2602,Dishonored ,12,18,33.5,16,83, 3.19,,,
87,26731,Dishonored 2 ,12.5,22.5,43.5,20,82, 2.07,,,
107,39525,Divinity: Original Sin II ,52.5,94,144,96,90, 4.63,,,
11,2708,Doom (2016) ,11.5,16,25.5,14.5,86, 2.29,,,
49,57506,Doom Eternal ,13.5,18,23.5,17.5,88, 1.64,,,
160,69743,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition ,56,87,128,74,90, 1.63,,,
45,26729,Fallout 4 ,26.5,79.5,153,75.5,78, 6.23,,,
66,3351,Fallout: New Vegas ,27.5,60.5,129,57,86, 6.28,,,
94,3378,Far Cry 3 ,15.5,25.5,38,24.5,84, 4.3,,,
183,19310,Far Cry 4 ,17,31,45,30,78, 4.21,,,
111,46093,Far Cry 5 ,17.5,28.5,43.5,27.5,75, 3.16,,,
99,3505,Final Fantasy IX ,40,54.5,84,50,90, 2.03,,,
26,3521,Final Fantasy VII ,37.5,52,85.5,52,90, 3.49,,,
1,57686,Final Fantasy VII Remake ,33.5,42,81.5,43.5,88, 0.71,,,
169,3524,Final Fantasy VIII ,42.5,58,88.5,55.5,82, 3.42,,,
198,37832,Final Fantasy XII: The Zodiac Age ,40.5,62,101,57,83, 2.25,,,
122,3537,Final Fantasy XV ,28,53,93.5,49.5,78, 2.01,,,
40,46453,Fire Emblem: Three Houses ,48,68,171,65,89, 1.3,,,
190,26806,Firewatch ,4,4.5,5,4.5,79, 1,,,
17,38050,God of War (2018) ,20.5,31.5,51,32,93, 0.93,,,
181,4061,Grand Theft Auto III ,16,23,41,21,79, 12.51,,,
144,4062,Grand Theft Auto IV ,28,41,78,35,82, 9.84,,,
0,4064,Grand Theft Auto V ,31.5,47,79,43,89, 3.92,,,
68,4073,Grand Theft Auto: San Andreas ,31.5,47,85,44,88, 11.67,,,
136,4075,Grand Theft Auto: Vice City ,19.5,28.5,44,25,85, 10.84,,,
92,62257,Gris ,3.5,4,6,4,81, 1.49,,,
93,4247,Half-Life ,12,14,15.5,12.5,85, 6.57,,,
48,4248,Half-Life 2 ,13,15.5,19.5,14.5,89, 4.14,,,
140,4250,Half-Life 2: Episode One ,4,4,5,4,81, 3.23,,,
139,4251,Half-Life 2: Episode Two ,5,6,8.5,6,86, 3.37,,,
185,4377,Heavy Rain ,10,12,21.5,10.5,79, 1.93,,,
50,41638,Hellblade: Senua's Sacrifice ,7.5,8,9,8,82, 1.92,,,
163,78118,Helltaker ,0.9,1,1,1,76, 1.52,,,
171,26831,Hitman (2016) ,10.5,26,93,19,81, 4.85,,,
121,57478,Hitman 2 (2018) ,10,27,128,18,82, 3.01,,,
13,26286,Hollow Knight ,25,37.5,53,37,91, 3.34,,,
85,53247,Horizon Zero Dawn - Complete Edition ,34.5,59,81,61.5,89, 1.59,,,
79,4530,Hotline Miami ,5,7.5,14.5,6.5,83, 5.69,,,
149,21694,Inside ,3.5,4,4.5,4,83, 1.08,,,
71,4867,Journey ,2,2.5,5,2,85, 1.15,,,
174,26404,Just Cause 3 ,17.5,35,58,34,70, 6.92,,,
131,21697,Kingdom Come: Deliverance ,40,72,124,70.5,76, 5.27,,,
168,13157,Kingdom Hearts III ,29,39.5,62.5,37,79, 1.39,,,
187,5146,L.A. Noire ,21.5,28,41,26.5,79, 6.24,,,
132,5212,Left 4 Dead 2 ,9.5,24,40,14.5,80, 20.07,,,
25,21702,Life Is Strange ,14,16,18,16,85, 3.06,,,
78,5304,Limbo ,3.5,4,6.5,4,78, 4.31,,,
83,66305,Luigi's Mansion 3 ,13,17,21.5,15.5,82, 1.21,,,
186,17610,Mad Max (2015) ,19.5,37.5,61.5,38.5,75, 5.71,,,
159,5513,Mafia II ,12,16,29,14,79, 3.85,,,
188,68266,Maneater ,8.5,10,12,11,73, 1.77,,,
179,46464,Mario + Rabbids Kingdom Battle ,21,29.5,44,27,81, 4.09,,,
23,44852,Marvel's Spider-Man ,16.5,24.5,32.5,25.5,88, 0.83,,,
74,5698,Mass Effect ,17,28.5,43.5,27,85, 3.09,,,
103,5699,Mass Effect 2 ,24.5,35.5,50.5,36,91, 2.23,,,
197,5905,Metal Gear Rising: Revengeance ,7,11,33,8,81, 3.26,,,
166,17291,Metal Gear Solid V: Ground Zeroes ,1.5,6.5,20,3.5,74, 2.16,,,
41,5918,Metal Gear Solid V: The Phantom Pain ,46,82,162,79.5,84, 4.77,,,
97,20737,Metro 2033 Redux ,9,11.5,22.5,10,78, 3.04,,,
162,46401,Metro Exodus ,14,22,34.5,21,81, 2.16,,,
175,20883,Metro: Last Light Redux ,10,13.5,26,11.5,80, 1.86,,,
69,18006,Middle-Earth: Shadow of Mordor ,15.5,23.5,31.5,23.5,80, 4.61,,,
148,44022,Middle-Earth: Shadow of War ,20.5,36,55.5,36,75, 3.72,,,
155,6064,Minecraft ,,,,,87, 13.03,81,316,202
29,68149,Minecraft Dungeons ,5,7,20,6,68, 2.35,,,
82,6085,Mirror's Edge ,6,8,11,7,76, 6.29,,,
72,52493,Monster Hunter: World ,49,97,341,89.5,85, 7.59,,,
143,6585,Ni no Kuni: Wrath of the White Witch ,45.5,56.5,92,57,86, 3.37,,,
18,38029,Nier: Automata ,20.5,37.5,61.5,36.5,89, 1.72,,,
28,36755,Ori and the Blind Forest: Definitive Edition ,8.5,10.5,11.5,10,86, 1.89,,,
101,46428,Ori and the Will of the Wisps ,11,14.5,17,15,91, 0.97,,,
191,6916,"Papers, Please ",4.5,8,16.5,7,81, 8.41,,,
47,15221,Persona 5 ,97,112,172,110,94, 1.42,,,
12,66630,Persona 5 Royal ,102,120,143,121,96, 0.52,,,
46,65235,Pokémon Sword and Shield ,25,38.5,88,35.5,74, 1.28,,,
19,7230,Portal ,3,5,9.5,3.5,87, 2.16,,,
16,7231,Portal 2 ,8.5,13.5,20.5,10,91, 1.96,,,
105,44590,Prey (2017) ,16,27.5,43.5,27,83, 3.05,,,
165,7372,Psychonauts ,12.5,15.5,22,15.5,84, 5.84,,,
113,12655,Rayman Legends ,9.5,15.5,28.5,15,86, 3.78,,,
192,7676,Red Dead Redemption ,18,28,46.5,24.5,89, 2.9,,,
6,27100,Red Dead Redemption 2 ,47.5,77,163,71.5,92, 1.57,,,
35,57479,Resident Evil 2 (2019) ,8,13.5,31.5,10.5,89, 0.99,,,
115,72822,Resident Evil 3 (2020) ,6,7,20,7,79, 0.43,,,
60,7720,Resident Evil 4 ,16,20,29.5,18,90, 2.97,,,
146,38051,Resident Evil 7: Biohazard ,9.5,11.5,22,10.5,84, 1.39,,,
52,19266,Rise of the Tomb Raider ,13.5,21.5,34,20,81, 1.6,,,
170,27113,Rocket League ,4,18.5,32.5,16.5,82, 24.06,,,
154,21723,SUPERHOT ,2.5,4.5,20.5,3,77, 2.82,,,
138,8076,Saints Row: The Third ,15,26.5,43.5,25.5,80, 6.3,,,
63,57415,Sekiro: Shadows Die Twice ,28,42,69,44,90, 3.62,,,
77,52731,Shadow of the Colossus (2018) ,6.5,9,23,7.5,83, 1.92,,,
39,51233,Shadow of the Tomb Raider ,13,22,35,20.5,76, 1.24,,,
195,19512,Shovel Knight ,6.5,8.5,17.5,8,86, 2.91,,,
53,37867,Sid Meier's Civilization VI ,21,62,135,32,80, 10.69,,,
133,23651,Sleeping Dogs: Definitive Edition ,14.5,24,38.5,23.5,80, 3.11,,,
150,8833,South Park: The Stick of Truth ,11.5,14.5,18.5,14,84, 2.82,,,
126,8898,Spec Ops: The Line ,6,7.5,15.5,7,79, 3.32,,,
161,55358,Spyro Reignited Trilogy ,15,24,29.5,27,82, 2.72,,,
24,60145,Star Wars Jedi: Fallen Order ,16,21,30.5,21,83, 1.59,,,
156,45153,Star Wars: Battlefront II (2017) ,6,8.5,42.5,7.5,67, 3.53,,,
176,9111,Star Wars: Knights of the Old Republic ,29,35.5,46,35,88, 5.34,,,
38,34716,Stardew Valley ,51,85,147,82,88, 9.45,,,
141,76482,Streets of Rage 4 ,3,5.5,14.5,3.5,80, 2.33,,,
178,23740,Subnautica ,27,44,56.5,42.5,86, 7.44,,,
32,42833,Super Mario Odyssey ,12.5,26.5,61.5,26,91, 0.94,,,
196,9389,Super Meat Boy ,10,17.5,44.5,14.5,81, 15.11,,,
106,57513,Super Smash Bros. Ultimate ,23,35.5,57,36,90, 3.43,,,
64,9705,Terraria ,,,,,84, 20.72,47,74,20
36,9859,The Elder Scrolls V: Skyrim ,33,108,226,109,87, 9.81,,,
110,14996,The Elder Scrolls V: Skyrim - Special Edition ,25.5,123,214,124,87, 8.99,,,
108,49226,The LEGO Ninjago Movie Videogame ,6,9,17,9.5,70, 2.92,,,
10,20221,The Last of Us Remastered ,14.5,17.5,26,16,92, 1.29,,,
172,10028,The Legend of Zelda: A Link to the Past ,15,17,17.5,16.5,89, 2.29,,,
3,38019,The Legend of Zelda: Breath of the Wild ,50,93.5,183,87.5,94, 1.64,,,
89,66255,The Legend of Zelda: Link's Awakening (2019) ,14,16,21,15.5,84, 1.18,,,
56,62935,The Outer Worlds ,12.5,23.5,35,24.5,79, 3.25,,,
134,14083,The Stanley Parable (2013) ,1.5,2.5,7,2.5,79, 2.57,,,
98,10250,The Walking Dead - A Telltale Games Series ,,,,,88, 3.3,12.5,,
61,10267,The Witcher ,35.5,46,64,46.5,80, 8.9,,,
55,10268,The Witcher 2: Assassins of Kings ,24,34,54,32.5,84, 5.3,,,
2,10270,The Witcher 3: Wild Hunt ,51,102,173,101,95, 1.73,,,
76,40171,The Witcher 3: Wild Hunt - Game of the Year Edition ,53,127,190,133,96, 1.98,,,
167,14013,The Wolf Among Us ,,,,,84, 1.62,8.5,,
142,38000,Titanfall 2 ,6,8,14,7,83, 1.65,,,
4,10469,Tomb Raider (2013) ,11.5,15.5,20.5,14.5,83, 1.87,,,
147,17617,Transistor ,6,8.5,15.5,7.5,82, 3.3,,,
182,68244,Trials of Mana (2020) ,21,27,40,26,81, 0.32,,,
96,10796,Uncharted 2: Among Thieves ,10.5,12.5,21.5,11.5,88, 1.19,,,
114,10797,Uncharted 3: Drake's Deception ,9,10.5,20,10,84, 1.12,,,
27,20077,Uncharted 4: A Thief's End ,15,17.5,28,16,89, 0.66,,,
88,10799,Uncharted: Drake's Fortune ,8.5,9.5,17,9,77, 1.57,,,
189,41814,Uncharted: The Lost Legacy ,7,8.5,16,8,83, 0.96,,,
137,30810,Uncharted: The Nathan Drake Collection ,27,31,61,29.5,86, 1.38,,,
33,30385,Undertale ,6.5,10.5,20.5,9,86, 3.69,,,
125,11101,Watch Dogs ,19,33,57,27.5,71, 6.02,,,
173,37861,Watch Dogs 2 ,19.5,31.5,45,29.5,77, 3.97,,,
116,45392,What Remains of Edith Finch ,2,2.5,3,2.5,83, 0.53,,,
194,46420,Wolfenstein II: The New Colossus ,10.5,16.5,32,13,79, 1.62,,,
81,16886,Wolfenstein: The New Order ,11.5,15.5,24.5,13.5,81, 2.04,,,
145,28279,XCOM 2 ,32,45,72,42.5,85, 4.6,,,
199,11397,XCOM: Enemy Unknown ,26.5,36,56,32,86, 7.6,,,
127,42835,Xenoblade Chronicles 2 ,65,107,260,95,86, 1.83,,,
8,70160,Xenoblade Chronicles: Definitive Edition ,45.5,56,69.5,49.5,92, 0.71,,,
30,43056,Yakuza 0 ,31,65.5,138,57,90, 1.86,,,
118,39484,Yakuza Kiwami ,18,33,81.5,29,80, 1.14,,,
70,6725,ŌKAMI ,34,42,53.5,41,88, 2.94,,,
